Text,Cluster
"But close, right?
",3
"Getting close.
",3
"Getting really close.
",3
"This was 2001, July 2001.
",3
"This battalion typically deploys the platoons.
",2
"And, you know, the only time that I'd really deploy, because I'm more senior than I'd be
",2
"a platoon commander, is if the whole battalion deploys.
",2
"And the only time the whole battalion is going to deploy is if the whole division deploys.
",2
"And that's really unlikely.
",3
"
",3
"This was, you know what, four months before 9-11.
",4
"Crazy.
",3
"
",3
"So 9-11 changed all that.
",3
"As you know, ultimately I ended up deploying as a company commander.
",2
"I'd stood up, Charlie Company, First Reconnaissance Battalion.
",2
"This was a company that had been deactivated years and years ago.
",2
"As part of the growth in the Marine Corps, they were growing reconnaissance.
",0
"Standing up this company was one of those opportunities that I had.
",2
"So I had the really unique opportunity to build the team from the ground level.
",3
"Get that company ready to deploy and then lead them in combat in OF-1 during the march up.
",2
"And I'll be honest, I think that that was my best self as a leader as a company commander then.
",2
"On the ground.
",3
"On the ground, you know, an organization that I'd stood up from the ground level.
",4
"And, you know, we spent about five and a half months deployed in OF-1.
",2
"You know, as you know, the ground war went pretty quick.
",4
"And my company was most often the main effort in the battalion,
",2
"which really gave me a lot of pride because I knew how hard the Marines have worked.
",4
"You know, and to become really good at aircraft.
",4
"And then on the Marine Corps plan, once the ground war was over,
",0
"Marine Corps tapping out, we don't do counter-insurgency.
",0
"We're going home and we're going to get ready for the next one.
",3
"So on the redeployment back, our battalion operations officer had orders and he had to leave.
",2
"So I moved up from being a company commander to being the operations officer in the battalion,
",2
"redeployed him home.
",3
"And then, you know, even though we were initially told we weren't going back about three months
",4
"after we got back, hey, you're going back again in six months.
",3
"So we're getting ready to deploy back to Fallujah to run a counter-insurgency operations in and
",2
"around Fallujah. My wife was nine months pregnant that day I deployed.
",2
"So I met my oldest son when he was six months old when I got back from that deployment.
",3
"Crazy. Yeah.
",1
"The really great thing about it is I have a picture of meeting him for the first time,
",3
"which is in my calling.
",3
"Six months.
",3
"Six months. So, you know, did that deployment, OIF-2,
",4
"you know, we were trying to figure it out just like everybody else when it came to counter-insurgency.
",4
"The things in Iraq were getting pretty bad at the time, as I'm sure you can recall.
",3
"You know, Fallujah blew up while we were there.
",4
"And ultimately ended up losing a Marine and, you know, several Marines getting wounded pretty
",0
"seriously in an ambush. The Marine that was killed was, his name was Captain Brett Morell.
",0
"This was a guy that I taught as an instructor. I remember when he came to the school, you know,
",4
"he had guns and he didn't want to store them on base. He brought the guns over my house to store them.
",3
"So I knew this kid from, you know, his very beginnings in the Marine Corps.
",0
"Crazy.
",3
"Ultimately, he ended up recruiting them into First Reconnaissance Battalion. He was on the
",2
"Division of Staff and I recognized what he had, pulled them over to the battalion, got him an
",2
"opportunity to be a platoon commander, and he deployed leading that platoon in Bravo Company,
",2
"First Reconnaissance Battalion. And then, like I said, Auto Patrol is basically the scout effort
",2
"for a company that was moving from our forward operating base to a temporary fob.
",3
"And it ended up coming into an ambush. First vehicle got nailed by a machine gun fire and
",3
"rocket propelled grenades. Brett was the second vehicle in the convoy, told his driver to come
",3
"to a halt, grabbed the Marines and his vehicle and sprinted over the berm into the teeth of the
",3
"fire, took around ultimately through the lower abdomen, ultimately ended up dying.
",3
"Crazy.
",3
"Given the part that I played and getting Brent to First Reconnaissance Battalion,
",2
"that's always, that's been one of those tough things for me. So that's the bracelet that I
",3
"wear today. But got through that deployment and then the rest of my Marine Corps career went
",0
"similarly. They kept offering opportunities. I kept saying, yeah, that sounds pretty neat.
",3
"You know, I was, I went from being an operations officer to, I got an assignment at the Pentagon
",4
"where I was responsible for all the ground reconnaissance capability and the Marine Corps
",0
"capability development. So thinking like a program manager for the Marine Corps,
",0
"ground reconnaissance capability. Did that for three years, learned a ton. One of those experiences
",3
"that you're really glad you did it, but you're really glad it's over because working in the
",3
"Pentagon can be a drag for a while. Went from there to, you know, at the Naval War College,
",4
"spent a year studying as a student, getting a master's degree, which was a great opportunity
",3
"for me and my young family. Went from there back to First Marine Division, did some time as a
",0
"staff and then ultimately was selected to command First Reconnaissance Battalion Commander.
",2
"Crazy. Deployed back to Afghanistan with them. What year was that? That was 2012. Okay. 2012. So
",2
"I deployed a year prior to that with the Division staff. So I'd spent a year in Afghanistan as a
",2
"staff officer and then ultimately brought them back as a battalion commander. Through about just
",2
"shorter six month deployment, this was the end of the surge. So President Obama was starting to
",3
"pull people home. We were one of those units that were redeployed early. Ultimately ended
",3
"up leaving a company and the rest of my battalion deployed after, redeployed after about five months.
",2
"But we started out as battle space owners in the Sangan Valley. The battalion that proceeded us,
",3
"Third Reconnaissance Battalion was there during the height of the fight and they really,
",2
"they drove the enemy out of the area of operations that we got assigned. So it was a
",3
"relatively benign AO. We spent a lot of time building capacity within the local government,
",3
"trying to tie the locals to the government. Then ultimately halfway through our deployment got
",3
"pulled out, got sent back down to Camp Leatherneck. We started conducting long range raids for the
",3
"division into areas that typically didn't have any any coalition force presence. So
",3
"we'd work up an area for about a week and conduct the hellbore raid. Just go in there and really
",3
"conduct, try to disrupt the enemies, whether it was a rat lines or other operations that they had
",3
"going on, picking fights and then extracting after about a week. And that's how the battalion
",2
"finished this deployment. Went from there back to the joint staff as a Lieutenant Colonel. And
",3
"I'd originally been assigned to go to the White House to be on the national security staff.
",3
"Ultimately that didn't work out, but that process got drug out so long that by the time the
",3
"Marine Corps decided that they were going to change my orders, it was like the end of July.
",0
"I graduated from the Army War College in May. Crazy. So they moved me to Washington, D.C.
",3
"and just had me kind of just marking time, waiting for the slot on the national security staff to
",3
"open up. Finally by the end of July, they called me and said, we're going to combat on this.
",3
"What do you want to do? The military moves in seasons, people start moving early spring.
",3
"Most of the moves are done by mid-summer. So I'm like, well, what's left? Because everybody's already
",3
"moved. And my assignments officer told me, there's a job in the operations director
",3
"of the joint staff, you're already in D.C. I'm like, okay, I'll take that. That sounds pretty good.
",3
"So next day, went in and reported on the joint staff. And I remember
",3
"checking in and there's an Air Force Chief Foreign Officer there at the Joint Staff
",3
"Personnel Office and tells me, you're not going to the G3. You're going to the
",3
"Chairman's Office of Re-Integration. I'm like, what's that? He's like, I don't know. But here's
",4
"your boss's number. You give him a call and he'll tell you. So my boss was a guy on Army
",3
"crew by the name Eisenhower. So I called him and he explained to me that this was an office that
",3
"the chairman, Admiral Mullen, stood up when he was the chairman with the intent for it to lead
",3
"the DUD's efforts to help transition military service members and veterans reintegrate back
",3
"into society. He had saw all of these nonprofits, all these corporations doing a lot to try to help
",3
"veterans return to civilian society after war. But he didn't see the Department of Defense
",3
"doing a lot. So he stood up this office within his office of the chairman, put five field grade
",3
"officers in it and said, your job is to create effective reintegration pathways for veterans.
",3
"When I first heard this, I was like, whoa, this is so far from anything I've ever done.
",3
"Yeah. I started, I went home and I called the, you know, I called some mentors. I called a couple
",3
"general officers. And basically they straightened me out. They said, you know what Brian, I understand
",4
"your concerns, but you need to boom where you're planning. So I went back the next day with the
",3
"intent to do that. And it ended up being, you know, life changing event for me. Number one, it was
",4
"incredibly meaningful experience working with all these nonprofit organizations, all these
",3
"corporations trying to help veterans reintegrate and the opportunity to interact with thousands
",3
"and thousands of veterans that were going through this really challenging transition process.
",3
"So I learned a ton, did that for three years. Ultimately ended up getting orders from there
",3
"because it was a brand new colonel got promoted right at the end of that tour.
",3
"Was a brand new colonel, the, you know, the little guy on the, on the totem pole goes where
",4
"everybody else doesn't want to go. I got orders to do Okinawa, Japan, third brain division.
",3
"And my wife and I struggled with that a little bit because, you know,
",4
"it was a tough time. My father just died and my wife's family, my wife's family couldn't travel
",3
"overseas for a bunch of different reasons. So like three years away, this is a really bad time.
",3
"But ultimately we decided it was the right thing to do. And I told them, I told the assignment's
",3
"officer, we're in, let's go. So we deployed on what was going to be a three year tour to
",2
"to Okinawa, Japan with, with third brain division. And the day I was unpacking my household goods,
",3
"I got a call that I've been selected for command to command the Marine Raider Training Center at
",0
"Marsock and I'd be going home in nine months. What was supposed to be a three year tour and
",3
"being about a 10 month tour. It was still a great tour. Third brain division was an awesome place
",3
"to be. Great, great division commanders and really great tight staff and really busy because
",2
"they're training all the time in Japan, Japan. Yeah. Was an awesome experience, probably the
",3
"best staff that I was on by far. But 10 months later deployed, you know, redeployed back home
",2
"to Marine Special Operations Command. So the first day that I ever spent a day serving the Marine
",0
"Special Operations Command was the day I took command in one of its major subordinate elements.
",3
"So a pretty daunting task as you can imagine. Opportunity to interact with a guy who ultimately
",3
"ended up being a really good friend of mine, another colonel that I'd met at the command
",3
"courses. I was getting ready. He'd been in Marine Special Operations Command from the beginning.
",0
"And he basically told me you're going to have a mutiny on your hands because he got,
",3
"you know, you're this outsider. And that kind of really shaped the way that I decided to take
",4
"command. And why were you considered an outsider? Because I'd not, this was, this was at the time
",3
"where Marine Special Operations Command had its assessment and selection process established.
",0
"Everybody that came into the, into the Mars Lock at that point were being assessed and selected.
",3
"They'd come in through the process. You know, I was a reconnaissance Marine. Gotcha. Didn't have
",0
"the Marine Special Operations MOS, but it ultimately had been selected to command this training unit.
",0
"Which makes sense given my background. But he just thought that that would be a problem.
",3
"Ultimately, that didn't be the case. That wasn't the case. You know, I was,
",4
"I was pretty deliberate about listening a lot, really figuring things out before I decided that
",3
"we needed to make any changes. Ultimately, really coming to a really clear understanding of what it
",3
"was Marine Special Operations Command needed out of the training center and kind of built a plan
",0
"from there. You know, built the vision for what the training center needed to be and started putting
",4
"in motion a campaign plan to achieve that. And, you know, I knew it was working when, when my Marines
",4
"ultimately ended up using my words against me to do things that they wanted to do. You know, one of
",4
"the things that I, that I told them all was, you know, it's a, it's a mindset I call win every day.
",4
"If you're improving what you do, if you're improving yourself personally and professionally,
",3
"improving your fighting hole, that place that you work every single day, just a little bit,
",3
"then you're winning. You know, the, the, the theory of the aggregate of incremental gains tells
",4
"you that if you improve what you do by 1% a day at the end of the year, you're going to be 10 times
",3
"better than you are. So, you know, that doesn't sound as mountable. It's easy. We can get 1%
",4
"of that. Maybe not every day, but still over time that aggregates, you're going to get a lot better.
",3
"So, you know, that was one of the things that I pushed was constant improvement on what we do,
",4
"being very, you know, very reactive to the, the needs of our customers who are the Marine
",0
"Raider Regiment, the deploying units that we're going down, down, down range and making sure that
",2
"we were giving them everything that they need in terms of training in the way that they needed it.
",3
"And ultimately ended up having a, you know, a really successful tour there and learned a ton.
",4
"You know, it, for me personally, you know, the Marines that come through that process,
",4
"assessment and selection and the training and Marine Special Operations Command are just
",0
"amazing individuals, you know, the, the, the cream of the crop. And we, we assess about 230 Marines
",0
"every three, you know, three times a year going through assessment selection, ultimately ended
",4
"up, you know, selecting only 30 to 40. Yeah. And every one of those 230 Marines were awesome Marines.
",4
"So you can imagine the caliber of the individuals that were working with that organization
",3
"and just being exposed to that and seeing the things that they were capable of doing.
",3
"Yeah. Really gave me the opportunity to really push the edges in terms of what we're doing training
",3
"wise and really make some big gains and really do a lot of good for the organization because I had
",3
"that caliber of people. Were you overseeing selection and training? Yeah. So I had assessment
",3
"selection and then I had 14 different special operations courses that the training center
",3
"ran everything from the individual training course, which was the course that everybody
",3
"goes through once they're selected to qualify either as a critical skills operator or a special
",3
"operations officer. And then, you know, other special operations, advanced courses that run the
",4
"gamut from CQB courses to breaching courses and everything in between. So all the formal training
",3
"that happened at Marsock felt happened in the Marine Rider Training Center. And then, you know,
",0
"one of the things that I keyed on when I took command was when my division or when
",3
"the Marsock commander was talking, he talked about how the Marine Rider Training Center was kind of
",0
"the, you know, the cultural hub of Marine Special Operations Command because everybody goes through
",0
"that gate. Yeah. You know, so that we spent a lot of time really working on the culture,
",4
"establishing, you know, what it was we wanted our Marines to be and do, what we wanted our
",4
"organization to be and do. And that ultimately ended up bubbling up into the entire command. So
",3
"that was a really meaningful experience as well as getting the opportunity to influence the culture
",3
"itself. You know, we spent a lot of time really trying to define what that meant through surveys
",4
"and other things like that, understanding what the Marines thought the culture was and then
",3
"building on that from there. So that was a great, a great tour. Did two years of command there,
",3
"was selected by the commanding general to be his chief of staff on the commitment that I'd
",3
"stand that job for two years as the chief. It was a great job. I mean, it was one of those jobs
",3
"where your job is related to ensure that what the commanding general wants to get done gets done.
",3
"Enabling his staff and his subordinate commanders to achieve his intent.
",2
"You know, so I was at the top, I wouldn't say I ran, but I was a senior staff officer on about a
",4
"responsible for synchronizing and integrating all the organization, all the activities of the staff
",3
"and the subordinate commands to a lesser extent to achieve the commanding general's vision.
",3
"And I was about a year into that. And I got a call from a buddy that told me this organization,
",3
"Boseman, Montana, Warriors and Quiet Waters Foundation was looking for a new executive
",3
"director. This was an organization that I learned about when I was on the joint staff working
",3
"veterans issues. And I'd known a board member from Warriors and Quiet Waters from a previous
",4
"introduction. So I called him and I said, Hey, I hear Warriors and Quiet Waters is looking for a
",3
"new ED. Do you think I'd be a good fit? He thought about it for about two seconds. He told me,
",3
"I think it'd be a great fit. Well, it's cool. Yeah, that experience. Yeah. Yeah. You should
",1
"throw your name in the hat. So I did that. Didn't tell my boss because I wasn't sure how I was going
",3
"to work out. And I've gone through the interview process and ultimately was offered the job.
",3
"And, you know, had about a five minute conversation with my wife. We were planning again on Marine
",0
"Corps yet. I still have another year as it is the chief of staff at Marsox. And I was going to take
",3
"another another another move and do three more years to get me to 30 years. That was the plan.
",3
"But I had about a five minute conversation with my wife, Marianne. Yeah, this is the right thing.
",3
"We got to go for it. That I was worried about telling my boss, the major general that I worked
",3
"for, because, you know, I committed to him for two years. He was counting on that. He was he
",4
"was going to be leaving at the end of that year. And he wanted the chief to be there for continuity
",3
"as a new commander came in. And I was really concerned about, I'll be honest. So I approached
",2
"him, you know, from the perspective that, you know, I got a problem. I'd like to talk to you about it.
",4
"And I remember when he when I first told him that I've been offered this job, he looked at me and
",3
"said, you know, after Brian, this place will fall apart without you. I'm like, damn, this is not going
",4
"to go good. But over the course of about about a 30 minute conversation, you know, he came around to
",4
"realize that it was the right thing and told me, yeah, I think you should do it. All in the same
",3
"conversation. Crazy. Well, I mean, just to show you, Calvary leader, he was yeah, major general, you
",3
"yeah. So I did it. I submitted my resignation papers and I got out of the Marine Corps in about
",0
"four months and moved here in June of 2020. Took over on July 6th, that is the executive director
",3
"of the Quiet Waters Foundation. And like I said, it was perfect. I learned when I was on the joint
",3
"staff that I was going to work in the nonprofit space when I got out of the Marine Corps. Yeah.
",0
"Coming home to Montana was always what was going to happen no matter what. So, you know, this was
",4
"the perfect circumstances coming together for my family and I, you know, so it was easy, easy,
",4
"easy answer. Do it. And that's what I've been doing ever since. That's amazing. Yeah. Yeah. And
",1
"a lot of purpose there. I mean, keeping guys on mission, getting them back on mission. Yeah. So,
",3
"you know, that's something else I learned on the work with veterans on the joint staff.
",4
"You know, that's the huge role that purpose serves in the lives of service members and veterans.
",4
"And the way I like to tell people about it is this, if you think about it, when people come into
",3
"the military, we all have a hierarchy of needs. You know, there are all things that we need to
",4
"thrive from the most basic needs like food and water, we got to have a job. You know, we need
",4
"connection because we're human beings that, you know, evolved into being social animals.
",4
"And ultimately, we, you know, we have to have, you know, some sense of pride in who we are and we
",4
"the military strips all that stuff that you had away. They break you down as an individual.
",3
"They build you back up as a member of the team. And then they issue you that, issue you that
",3
"hierarchy needs. They take care of it all for you. Yeah. They take care of your house and your food.
",3
"They take care of all your training and professional development. They give you very, very clear
",3
"purpose and admission. And you have that for the entire time that you're in the military. Yeah.
",3
"And that's what your experience is, a very strong sense of purpose about what you do.
",3
"But when you leave the military, that's all stripped away. And you're essentially left to
",3
"rebuild the hierarchy of needs from the gig. You know, a lot of veterans, the first thing that
",4
"they're concerned about is getting a job, you know, because they got to take care of themselves and
",4
"their family. And that job doesn't necessarily always provide that purpose that they found
",3
"is being a member of the military. And this, this, this can create huge issues for veterans.
",3
"Big fears. Big fears. You know, what am I going to do to replace that sense of purpose that I had?
",4
"So I learned that. And I've been able to, to, to receive that, you know, in huge quantities,
",4
"being, you know, the executive director of an organization that helps post-9th element combat
",4
"veterans thrive. It gives me a sense of purpose every single day. Something that I can get out of
",3
"bed and be excited about every single day. You know, it's more than just the bottom line of some
",4
"company. It's having a meaningful impact on hundreds and thousands of other individuals.
",3
"Not hard to get behind that. Yeah. Change in lives, save in lives. Yeah. So, you know, I'm blessed
",4
"because of that. Did you have some of the transitional struggles your own or did years go
",3
"just really smooth because of you just went from purpose to purpose? Yeah. I mean, I, I,
",3
"I tell everybody it went smooth. And, you know, I had, I had peers, other colonels, Navy captains
",4
"that told me I was getting out that, Hey dude, your first year is going to suck. Just be ready for
",3
"that. But I didn't experience that at all. And I think that's because I had that purpose again.
",3
"You know, I was falling into a job where, where in a lifestyle where that was exactly what I wanted.
",4
"Plus, you know, a job and then plus the lifestyle that I'd longed for ever since I've been in the
",4
"Marine Corps here that you can find here in Montana, which was always a huge part of my life. Yeah.
",0
"You know, and, you know, I had known some people in the community, other, other service members
",4
"that I served with in the community. So I had those ties. And then, you know, the, the opportunity
",4
"interact with veterans on a day to day basis. It was all built right in. So I didn't experience that
",3
"myself. I'd say my transition is going pretty smooth. Now, yeah, there's things that I miss.
",3
"I mean, I, I miss the Marines. I miss the training. I miss those kinds of opportunities. But, you know,
",3
"the thing is, is that you can't do those things forever. You know, being a Marine was getting
",0
"harder physically every day. As you can imagine, after 27 years, a bunch of combat deployments,
",3
"the body started to break down and things like that. So you, I mean, you got to recognize that
",3
"you're not going to be doing that, you know, that stuff that was ultimately the stuff that kept you
",4
"in initially forever. Seasons. Yeah. So what are you telling folks now that are getting out that
",3
"aren't exactly blessed to find that purpose at their job? How are they finding that outside of
",3
"their job? Yeah. So I think that, you know, that that's not something that everybody's going to be
",4
"able to find in a job. Yeah. At the end of the day, you have to have an occupation so you can take
",3
"care of your family, be financially stable, have a future. And you may not, you may not be as lucky
",3
"as I am where you found that opportunity to get that sense of purpose from there. But you don't
",3
"have to get your sense of purpose, in my opinion, from, from your occupation. There are lots of
",3
"other ways where you can find that. And I think that the hardest part for veterans to grapple with
",3
"is figuring out what that is. You know, what is going to bring your life meaning? You know,
",4
"what is your potential now that you're a veteran? Who are you? You know, I was, when I was a Marine,
",0
"active duty Marine, that was a huge part of my identity. Marine. Every single day,
",0
"you know, putting that uniform on, wearing an eagle globe and anchor over my heart. Yeah. That was a
",4
"huge part of who I was. How are you going to replace that identity? And I think it's really,
",3
"you know, going through the self reflection and the hard thinking to really understand where you
",4
"think you're going to find that new identity and that new purpose, if you can't find it in your job.
",3
"You know, how are you going to do that as a veteran? If you have to do something that doesn't,
",4
"you know, for, for, for a paycheck that doesn't give you the opportunity to do that. Yeah. You know,
",4
"my purpose is service and leadership. You know, I'm blessed with the opportunity where I can do
",4
"that in my job. But if I didn't have this job, there'd be other ways to do that. You know, there
",4
"are a lot of, a lot of great organizations out there that allow me to serve and lead. You know,
",4
"worries and quiet waters is what I'm, I'm employed there, but there are others, you know, I'll name
",4
"one, the Travis Manning Foundation. You know, they have a program called the character does matter
",4
"that allows retired and former service members to find that purpose through teaching character
",3
"and leadership to, to, to youth. You know, so that's one way you can do it. There's, you know,
",4
"it's really a matter of figuring out what that, what that purpose is. And then you can build it
",3
"from there. Yeah. And you can build it from there. And what is, I love the concept of your hunt for
",3
"purpose initiative because in my mind with Mountain Tough, we're always working with guys,
",3
"especially to find their why. And we know that, we know that sometimes you just need to artificially
",4
"create that why until a bigger why takes its spot. So a lot of guys know that finding their why is
",4
"going to get them on track, get them focused. But sometimes you have to artificially create one
",3
"to get the wheels in motion. And so I think your hunt for purpose initiative does a pretty
",3
"beautiful job of that with physical fitness, mental fitness, nutrition, shooting your bow.
",3
